,qs_send_time,recorder_recv_time,exch_time,trd_prc,trd_qty,maker_side,exch_symbol,norm_symbol,qs_host
0,1530403201846,1530403201846,1530403201835,6383.19,0.202678,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
1,1530403201846,1530403201846,1530403201835,6383.19,0.14846099999999998,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
2,1530403201846,1530403201847,1530403201835,6383.19,1.0,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
3,1530403201855,1530403201855,1530403201835,6383.19,0.0165,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
4,1530403201855,1530403201856,1530403201836,6383.19,1.521701,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
5,1530403201856,1530403201856,1530403201836,6383.19,0.356716,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
6,1530403201858,1530403201859,1530403201836,6383.19,0.11,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
7,1530403201858,1530403201859,1530403201836,6383.19,1.0,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
8,1530403201859,1530403201859,1530403201836,6383.19,0.00187,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
9,1530403201864,1530403201864,1530403201836,6383.19,0.00939,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
10,1530403201865,1530403201865,1530403201836,6383.2,0.671088,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
11,1530403201867,1530403201868,1530403201836,6383.46,0.004507,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
12,1530403201869,1530403201870,1530403201836,6383.47,0.001,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
13,1530403201871,1530403201871,1530403201836,6385.52,1.0,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
14,1530403201872,1530403201872,1530403201836,6388.44,0.4951,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
15,1530403201874,1530403201875,1530403201836,6388.44,0.03125,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
16,1530403201881,1530403201882,1530403201836,6388.45,2.33357,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
17,1530403201882,1530403201882,1530403201836,6388.45,1.0,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
18,1530403201891,1530403201891,1530403201836,6388.46,0.003052,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
19,1530403201891,1530403201892,1530403201836,6388.47,0.002582,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
20,1530403201894,1530403201894,1530403201836,6388.68,8.659986,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
21,1530403203296,1530403203297,1530403203263,6388.31,0.001,B,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
22,1530403206800,1530403206800,1530403206787,6384.26,0.0037090000000000005,B,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
23,1530403208794,1530403208794,1530403208789,6385.42,0.0304,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
24,1530403209608,1530403209608,1530403209546,6385.42,0.343504,S,BTC/USD,BTC/USD,qs-northvirginia-prod-m5large-a-1
